;Datatype;Decimals;Default;Description;ID;Key;ParentID;Position;ReleasePolicy;Title;Type;Unit;odata.type
153;;;;;153;;152.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
62;;;;;62;;61.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
61;;;;"People moving to the Netherlands from another country.
Immigration relates to all individuals arriving in the Netherlands whose arrival result in entries in a municipal population register.
The criteria are a residency for at least four months in the forthcoming six months.";61;;60.0;;;Immigration;TopicGroup;;Cbs.OData.TopicGroup
60;;;;"External migration by country of birth.

External migration:
People who moved to the Netherlands (immigration) or inhabitants who leave The Netherlands (emigration).

Inhabitant:
Someone belonging to the population living in The Netherlands.
In the population statistics compiled by Statistics Netherlands the inhabitants are the people registered in the population register, whose address is located in that area.

Country of birth:
The country where a person is born.
Until 2010, persons whose country of birth was unknown were assumed to have the same country of birth as their father or mother (if their country of birth was known). Since 2010, this procedure is discontinued in the provisional monthly figures. As a result, the number of persons whose country of birth is unknown has increased. This may affect the provisional figures of all countries of birth in the table.

Break in series external migration
As a result of an improved production process, a small shift has occurred in the figures on external migration.
From 2010 the following changes have been implemented.
- previously missed reports are now included;
- administrative entries preceding emigration are now considered as immigration
- administrative removals followed by immigration are now considered as emigration
For some immigrants and emigrants, country of birth is unknown in the provisional figures. From January 2014 onwards, country of birth is estimated: For immigrants, country of origin is considered country of birth, for emigrants, country of destination is considered country of birth. ";60;;59.0;;;External migration: country of b...;TopicGroup;;Cbs.OData.TopicGroup
59;;;;"Migration:
A move between two geographic entities resulting in a change of municipality or country.

Break in series external migration.
As a result of an improved production process, a small shift has occurred in the figures on external migration.
From 2010 the following changes have been implemented.
- previously missed reports are now included;
- administrative entries preceding emigration are now considered as immigration
- administrative removals followed by immigration are now considered as emigration.
For some immigrants and emigrants, country of birth is unknown in the provisional figures. From January 2014 onwards, country of birth is estimated: For immigrants, country of origin is considered country of birth, for emigrants, country of destination is considered country of birth. 

Break in series: late reports
Until 2010, reports on events taking place in a certain year received by Statistics Netherlands after 15 February in the following year were disregarded. These are so-called late reports.
As a result of an improvement in the production process, from 2010 these late reports are included in the year of publication (i.e. not in the year the event took place, but in the year the results are published).";59;;;;;Migration;TopicGroup;;Cbs.OData.TopicGroup
197;;;;"Immigration minus emigration.

Immigration:
People moving to the Netherlands from another country.
Immigration relates to all individuals arriving in the Netherlands whose arrival result in entries in a municipal population register.
The criteria are a residency for at least four months in the forthcoming six months.

Emigration:
People leaving for another country.
Emigration relates to all individuals departing from the Netherlands, whose departure result in removals from the Netherlands population registers. The criteria for removal from the registers are 8 months abroad in the following 12 months.";197;;60.0;;;Net migration;TopicGroup;;Cbs.OData.TopicGroup
198;;;;"Net migration including administrative corrections.
Data on net migration including net administrative corrections give a better impression of the true level of net migration than data on net migration excluding net administrative corrections.

Administrative correction:
Entries in and removals from the municipal population register for reasons other than birth, death, arrival, departure or municipal boundary change.
The greater part of these corrections relates to the processing of either the departures of persons who did not notify the local authorities or the subsequent arrivals.

Administrative entry:
Decision by a municipality, at the request of the person concerned, to include that person in its population while it has no knowledge of birth, immigration or establishment of that person from another municipality in the Netherlands.

Administrative removal:
Decision by a municipality no longer to include a person in its population, once it has established that the address of the person is unknown, the person cannot be contacted and probably no longer resides in a municipality in the Netherlands.";198;;197.0;;;Net migration including administrativ...;TopicGroup;;Cbs.OData.TopicGroup
199;;;;;199;;198.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
380;;;;;380;;379.0;;;Totals;TopicGroup;;Cbs.OData.TopicGroup
55;;;;"Infant mortality:
The number of live born children who died before their first birthday (age on last birthday).

Live born child:
A baby showing some sign of life after birth, regardless of the duration of pregnancy.";55;;26.0;;;Infant mortality by sex;TopicGroup;;Cbs.OData.TopicGroup
106;;;;People leaving for another country.;106;;60.0;;;Emigration;TopicGroup;;Cbs.OData.TopicGroup
379;;;;Administrative entries minus administrative removals.;379;;288.0;;;Net administrative corrections;TopicGroup;;Cbs.OData.TopicGroup
489;;;;;489;;483.0;;;Females;TopicGroup;;Cbs.OData.TopicGroup
47;;;;;47;;30.0;;;Females;TopicGroup;;Cbs.OData.TopicGroup
494;;;;"Break in series: late reports
Until 2010, reports on events taking place in a certain year received by Statistics Netherlands after 15 February in the following year were disregarded. These are so-called late reports.
As a result of an improvement in the production process, from 2010 these late reports are included in the year of publication (i.e. not in the year the event took place, but in the year the results are published).

Break in series marriages and marrying people
As a result of an improved production process, a slight increase can be observed in the figures on marriages and marrying people from 2010. From 2010 onwards marriages taking place abroad in particular are measured more accurately.";494;;;;;Marriage / partnership: dissolutions;TopicGroup;;Cbs.OData.TopicGroup
