unit,geo\time	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 	1959 	1958 	1957 	1956 	1955 	1954 	1953 	1952 	1951 	1950 
NR,AT	560306 	493246 	479859 	481549 	485450 	486433 	504568 	493786 	502440 	468832 	457623 	423025 	400621 	391291 	398960 	426724 	391602 	387789 	389870 	381841 	347013 	330132 	313233 	303567 	305501 	295780 	306253 	291709 	294200 	216559 	285507 	282948 	277770 	266848 	253012 	244475 	237855 	235211 	229958 	228043 	241798 	238987 	231635 	225660 	215330 	214451 	201701 	194916 	: 	: 	: 
NR,BE	1002660 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,BG	148915 	145035 	159317 	228219 	184975 	196346 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CH	317335 	355255 	378045 	382769 	356018 	346634 	358028 	371740 	374237 	382661 	354265 	331989 	329667 	334057 	331476 	333618 	330492 	339110 	335374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CY	4340 	4212 	4316 	3910 	4529 	4033 	4304 	4300 	3808 	3624 	3684 	3675 	3580 	3633 	3581 	3562 	3103 	2782 	2415 	2190 	2232 	2116 	1886 	2013 	2072 	2874 	2826 	1699 	1622 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CZ	391469 	426626 	425930 	403654 	394267 	375630 	372427 	398505 	345205 	282998 	216852 	189152 	194473 	197517 	203759 	202880 	207836 	199237 	201479 	177381 	166487 	160250 	166549 	167262 	172995 	184701 	181299 	178712 	183226 	185218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,DE	6264723 	6302316 	6456996 	6586165 	6647598 	6668717 	6537748 	6750613 	6291519 	5302796 	4455333 	4358573 	4356726 	4444108 	4367124 	4215451 	4132783 	4345107 	4291975 	4071873 	3815774 	3533802 	3380516 	3287642 	3063271 	2919390 	2741728 	2559974 	2572530 	2441413 	2413586 	2217966 	2158510 	2074322 	1917445 	1789319 	1747580 	1678840 	2106469 	2120419 	2034239 	1951290 	1726565 	1685698 	1630675 	1575310 	1504647 	1491120 	1516819 	1543122 	1327455 
NR,DK	504231 	494191 	499167 	531102 	528488 	538963 	546926 	546894 	536821 	519775 	527421 	536564 	536880 	524323 	512853 	477259 	419337 	414985 	413033 	405746 	406346 	355054 	340069 	307416 	276731 	290450 	325725 	311324 	301142 	298590 	260072 	209745 	194326 	170831 	152548 	155238 	150187 	143191 	135681 	131520 	126367 	119125 	115550 	117091 	114066 	115928 	111220 	120168 	120329 	122645 	109117 
NR,EE	57799 	51539 	45721 	40972 	35411 	39570 	35739 	37163 	41254 	31748 	23807 	19141 	12167 	11465 	12500 	14828 	15437 	15244 	9311 	9314 	11125 	8546 	6771 	6796 	7006 	7759 	6034 	5934 	5787 	5909 	6099 	5959 	6147 	5465 	5686 	5122 	5164 	5649 	5985 	6083 	5049 	4658 	6278 	5252 	5177 	3860 	3804 	5181 	4905 	5773 	5225 
NR,EL	369137 	373680 	385681 	377749 	349476 	329110 	303311 	358503 	379652 	358998 	330803 	287177 	311179 	303182 	294300 	291355 	352488 	393506 	335170 	309267 	295353 	294056 	261111 	254567 	248941 	184865 	199520 	196119 	230296 	287197 	179331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES	1852858 	1895983 	1865572 	1823330 	1770019 	1659026 	1604190 	1544975 	1481117 	1530026 	1553833 	1566619 	1506664 	1487500 	879822 	776529 	729382 	589450 	447510 	429492 	408947 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,FI	453056 	436552 	423794 	412188 	416181 	422246 	426371 	433783 	447785 	446129 	505295 	458684 	398841 	389040 	377998 	357775 	334495 	318034 	315576 	288435 	267746 	192979 	183425 	185209 	177669 	191704 	177615 	168966 	155122 	138465 	122849 	111022 	102097 	91538 	79945 	81427 	81520 	75245 	70194 	67162 	65201 	63685 	61081 	58009 	51491 	48240 	52520 	54125 	50811 	51952 	51273 
NR,FR	3771849 	3567864 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,FX	3771849 	3567864 	3565525 	3493442 	3559617 	3665320 	3919008 	3881894 	3830996 	3744112 	3492712 	3266442 	3132694 	3170970 	3292189 	3579194 	3681453 	3563975 	3413682 	2890020 	2627508 	2330566 	2147832 	2097919 	1823953 	1912327 	1827373 	1763372 	1675507 	1289378 	1135621 	1021215 	937642 	839024 	735084 	660441 	611521 	567681 	733866 	708780 	687766 	644758 	603967 	667674 	558046 	516764 	524579 	547611 	545678 	528027 	574289 
NR,HR	68378 	58190 	56015 	55085 	58364 	63015 	64051 	77280 	91712 	64294 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,HU	450673 	505716 	600621 	514403 	466050 	502036 	389451 	400935 	447215 	440370 	341061 	225393 	185344 	188397 	182867 	165816 	157036 	151505 	139795 	134914 	130470 	125267 	126907 	123623 	129424 	120889 	111825 	125388 	125999 	123147 	122289 	110622 	118254 	119872 	121020 	121961 	109255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,IE	73276 	81274 	85627 	90875 	100785 	102484 	101036 	98979 	95391 	94406 	87658 	86792 	89544 	85358 	86574 	91285 	99727 	102387 	97626 	89400 	72782 	64057 	62000 	62946 	54382 	48387 	40096 	38022 	39237 	37781 	30756 	25972 	23104 	20558 	19029 	16736 	17700 	16203 	15307 	14818 	15375 	17865 	16567 	14037 	12782 	11531 	11917 	15602 	14720 	14127 	12231 
NR,IS	18584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
