"ID";"SoortMisdrijf";"Gemeenten";"Perioden";"Misdrijven_1"
"0";"T001160";"NL0000";"2014JJ00";"  992693"
"1";"T001160";"NL0000";"2015HJ01";"  466564"
"2";"T001160";"NL0000";"2015JJ00";"  924987"
"3";"T001160";"NL0000";"2016HJ01";"  438602"
"4";"T001160";"NL0000";"2016JJ00";"  912453"
"5";"T001160";"NL0000";"2017HJ01";"  419703"
"6";"T001160";"GM1680";"2014JJ00";"     650"
"7";"T001160";"GM1680";"2015HJ01";"     284"
"8";"T001160";"GM1680";"2015JJ00";"     595"
"9";"T001160";"GM1680";"2016HJ01";"     296"
"10";"T001160";"GM1680";"2016JJ00";"     613"
"11";"T001160";"GM1680";"2017HJ01";"     249"
"12";"T001160";"GM0738";"2014JJ00";"     409"
"13";"T001160";"GM0738";"2015HJ01";"     219"
"14";"T001160";"GM0738";"2015JJ00";"     350"
"15";"T001160";"GM0738";"2016HJ01";"     151"
"16";"T001160";"GM0738";"2016JJ00";"     331"
"17";"T001160";"GM0738";"2017HJ01";"     147"
"18";"T001160";"GM0358";"2014JJ00";"    1190"
"19";"T001160";"GM0358";"2015HJ01";"     547"
"20";"T001160";"GM0358";"2015JJ00";"    1029"
"21";"T001160";"GM0358";"2016HJ01";"     567"
"22";"T001160";"GM0358";"2016JJ00";"    1153"
"23";"T001160";"GM0358";"2017HJ01";"     573"
"24";"T001160";"GM0197";"2014JJ00";"     651"
"25";"T001160";"GM0197";"2015HJ01";"     281"
"26";"T001160";"GM0197";"2015JJ00";"     559"
"27";"T001160";"GM0197";"2016HJ01";"     262"
"28";"T001160";"GM0197";"2016JJ00";"     634"
"29";"T001160";"GM0197";"2017HJ01";"     241"
"30";"T001160";"GM0059";"2014JJ00";"     741"
"31";"T001160";"GM0059";"2015HJ01";"     341"
"32";"T001160";"GM0059";"2015JJ00";"     693"
"33";"T001160";"GM0059";"2016HJ01";"     351"
"34";"T001160";"GM0059";"2016JJ00";"     755"
"35";"T001160";"GM0059";"2017HJ01";"     342"
"36";"T001160";"GM0482";"2014JJ00";"     746"
"37";"T001160";"GM0482";"2015HJ01";"     416"
"38";"T001160";"GM0482";"2015JJ00";"     787"
"39";"T001160";"GM0482";"2016HJ01";"     335"
"40";"T001160";"GM0482";"2016JJ00";"     722"
"41";"T001160";"GM0482";"2017HJ01";"     323"
"42";"T001160";"GM0613";"2014JJ00";"    1041"
"43";"T001160";"GM0613";"2015HJ01";"     502"
"44";"T001160";"GM0613";"2015JJ00";"    1043"
"45";"T001160";"GM0613";"2016HJ01";"     461"
"46";"T001160";"GM0613";"2016JJ00";"    1016"
"47";"T001160";"GM0613";"2017HJ01";"     482"
"48";"T001160";"GM0361";"2014JJ00";"    8117"
"49";"T001160";"GM0361";"2015HJ01";"    3699"
"50";"T001160";"GM0361";"2015JJ00";"    7269"
"51";"T001160";"GM0361";"2016HJ01";"    3406"
"52";"T001160";"GM0361";"2016JJ00";"    6896"
"53";"T001160";"GM0361";"2017HJ01";"    3000"
"54";"T001160";"GM0141";"2014JJ00";"    4412"
"55";"T001160";"GM0141";"2015HJ01";"    2063"
"56";"T001160";"GM0141";"2015JJ00";"    3949"
"57";"T001160";"GM0141";"2016HJ01";"    2013"
"58";"T001160";"GM0141";"2016JJ00";"    3967"
"59";"T001160";"GM0141";"2017HJ01";"    2068"
"60";"T001160";"GM0034";"2014JJ00";"   13138"
"61";"T001160";"GM0034";"2015HJ01";"    5712"
"62";"T001160";"GM0034";"2015JJ00";"   11272"
"63";"T001160";"GM0034";"2016HJ01";"    5453"
"64";"T001160";"GM0034";"2016JJ00";"   11200"
"65";"T001160";"GM0034";"2017HJ01";"    4936"
"66";"T001160";"GM0484";"2014JJ00";"    4682"
"67";"T001160";"GM0484";"2015HJ01";"    2269"
"68";"T001160";"GM0484";"2015JJ00";"    4257"
"69";"T001160";"GM0484";"2016HJ01";"    1891"
"70";"T001160";"GM0484";"2016JJ00";"    4197"
"71";"T001160";"GM0484";"2017HJ01";"    1918"
"72";"T001160";"GM1723";"2014JJ00";"     422"
"73";"T001160";"GM1723";"2015HJ01";"     203"
"74";"T001160";"GM1723";"2015JJ00";"     414"
"75";"T001160";"GM1723";"2016HJ01";"     162"
"76";"T001160";"GM1723";"2016JJ00";"     322"
"77";"T001160";"GM1723";"2017HJ01";"     141"
"78";"T001160";"GM0060";"2014JJ00";"     144"
"79";"T001160";"GM0060";"2015HJ01";"      48"
"80";"T001160";"GM0060";"2015JJ00";"     124"
"81";"T001160";"GM0060";"2016HJ01";"      49"
"82";"T001160";"GM0060";"2016JJ00";"     139"
"83";"T001160";"GM0060";"2017HJ01";"      32"
"84";"T001160";"GM0307";"2014JJ00";"    9167"
"85";"T001160";"GM0307";"2015HJ01";"    4286"
"86";"T001160";"GM0307";"2015JJ00";"    8459"
"87";"T001160";"GM0307";"2016HJ01";"    4094"
"88";"T001160";"GM0307";"2016JJ00";"    8333"
"89";"T001160";"GM0307";"2017HJ01";"    3886"
"90";"T001160";"GM0362";"2014JJ00";"    4126"
"91";"T001160";"GM0362";"2015HJ01";"    2094"
"92";"T001160";"GM0362";"2015JJ00";"    4132"
"93";"T001160";"GM0362";"2016HJ01";"    1915"
"94";"T001160";"GM0362";"2016JJ00";"    4225"
"95";"T001160";"GM0362";"2017HJ01";"    2062"
"96";"T001160";"GM0363";"2014JJ00";"   92740"
"97";"T001160";"GM0363";"2015HJ01";"   45468"
"98";"T001160";"GM0363";"2015JJ00";"   91952"
"99";"T001160";"GM0363";"2016HJ01";"   43640"
"100";"T001160";"GM0363";"2016JJ00";"   89886"
"101";"T001160";"GM0363";"2017HJ01";"   43349"
"102";"T001160";"GM0200";"2014JJ00";"    9880"
"103";"T001160";"GM0200";"2015HJ01";"    4479"
"104";"T001160";"GM0200";"2015JJ00";"    8535"
"105";"T001160";"GM0200";"2016HJ01";"    4067"
"106";"T001160";"GM0200";"2016JJ00";"    8203"
"107";"T001160";"GM0200";"2017HJ01";"    3726"
"108";"T001160";"GM0003";"2014JJ00";"     493"
"109";"T001160";"GM0003";"2015HJ01";"     201"
"110";"T001160";"GM0003";"2015JJ00";"     420"
"111";"T001160";"GM0003";"2016HJ01";"     223"
"112";"T001160";"GM0003";"2016JJ00";"     474"
"113";"T001160";"GM0003";"2017HJ01";"     189"
"114";"T001160";"GM0202";"2014JJ00";"   13353"
"115";"T001160";"GM0202";"2015HJ01";"    5989"
"116";"T001160";"GM0202";"2015JJ00";"   12090"
"117";"T001160";"GM0202";"2016HJ01";"    6027"
"118";"T001160";"GM0202";"2016JJ00";"   12523"
"119";"T001160";"GM0202";"2017HJ01";"    5976"
"120";"T001160";"GM0106";"2014JJ00";"    3976"
"121";"T001160";"GM0106";"2015HJ01";"    1798"
"122";"T001160";"GM0106";"2015JJ00";"    3639"
"123";"T001160";"GM0106";"2016HJ01";"    1815"
"124";"T001160";"GM0106";"2016JJ00";"    3696"
"125";"T001160";"GM0106";"2017HJ01";"    1737"
"126";"T001160";"GM0743";"2014JJ00";"     836"
"127";"T001160";"GM0743";"2015HJ01";"     419"
"128";"T001160";"GM0743";"2015JJ00";"     803"
"129";"T001160";"GM0743";"2016HJ01";"     376"
"130";"T001160";"GM0743";"2016JJ00";"     739"
"131";"T001160";"GM0743";"2017HJ01";"     317"
"132";"T001160";"GM0744";"2014JJ00";"     329"
"133";"T001160";"GM0744";"2015HJ01";"     165"
"134";"T001160";"GM0744";"2015JJ00";"     305"
"135";"T001160";"GM0744";"2016HJ01";"     105"
"136";"T001160";"GM0744";"2016JJ00";"     225"
"137";"T001160";"GM0744";"2017HJ01";"     129"
"138";"T001160";"GM0308";"2014JJ00";"    1255"
"139";"T001160";"GM0308";"2015HJ01";"     612"
"140";"T001160";"GM0308";"2015JJ00";"    1209"
"141";"T001160";"GM0308";"2016HJ01";"     663"
"142";"T001160";"GM0308";"2016JJ00";"    1264"
"143";"T001160";"GM0308";"2017HJ01";"     604"
"144";"T001160";"GM0489";"2014JJ00";"    1937"
"145";"T001160";"GM0489";"2015HJ01";"     857"
"146";"T001160";"GM0489";"2015JJ00";"    1838"
"147";"T001160";"GM0489";"2016HJ01";"    1000"
"148";"T001160";"GM0489";"2016JJ00";"    2066"
"149";"T001160";"GM0489";"2017HJ01";"    1056"
"150";"T001160";"GM0203";"2014JJ00";"    2040"
"151";"T001160";"GM0203";"2015HJ01";"     995"
"152";"T001160";"GM0203";"2015JJ00";"    1932"
"153";"T001160";"GM0203";"2016HJ01";"     942"
"154";"T001160";"GM0203";"2016JJ00";"    1991"
"155";"T001160";"GM0203";"2017HJ01";"     862"
"156";"T001160";"GM0005";"2014JJ00";"     251"
"157";"T001160";"GM0005";"2015HJ01";"     123"
"158";"T001160";"GM0005";"2015JJ00";"     231"
"159";"T001160";"GM0005";"2016HJ01";"      79"
"160";"T001160";"GM0005";"2016JJ00";"     191"
"161";"T001160";"GM0005";"2017HJ01";"      69"
"162";"T001160";"GM0888";"2014JJ00";"     998"
"163";"T001160";"GM0888";"2015HJ01";"     520"
"164";"T001160";"GM0888";"2015JJ00";"     990"
"165";"T001160";"GM0888";"2016HJ01";"     476"
"166";"T001160";"GM0888";"2016JJ00";"     996"
"167";"T001160";"GM0888";"2017HJ01";"     452"
"168";"T001160";"GM0370";"2014JJ00";"     256"
"169";"T001160";"GM0370";"2015HJ01";"     105"
"170";"T001160";"GM0370";"2015JJ00";"     237"
"171";"T001160";"GM0370";"2016HJ01";"     113"
"172";"T001160";"GM0370";"2016JJ00";"     278"
"173";"T001160";"GM0370";"2017HJ01";"     111"
"174";"T001160";"GM0889";"2014JJ00";"     467"
"175";"T001160";"GM0889";"2015HJ01";"     203"
"176";"T001160";"GM0889";"2015JJ00";"     403"
"177";"T001160";"GM0889";"2016HJ01";"     199"
"178";"T001160";"GM0889";"2016JJ00";"     436"
"179";"T001160";"GM0889";"2017HJ01";"     187"
"180";"T001160";"GM0007";"2014JJ00";"     217"
"181";"T001160";"GM0007";"2015HJ01";"      98"
"182";"T001160";"GM0007";"2015JJ00";"     192"
"183";"T001160";"GM0007";"2016HJ01";"      92"
"184";"T001160";"GM0007";"2016JJ00";"     205"
"185";"T001160";"GM0007";"2017HJ01";"     111"
"186";"T001160";"GM1945";"2014JJ00";""
"187";"T001160";"GM1945";"2015HJ01";""
"188";"T001160";"GM1945";"2015JJ00";""
"189";"T001160";"GM1945";"2016HJ01";"     575"
"190";"T001160";"GM1945";"2016JJ00";"    1170"
"191";"T001160";"GM1945";"2017HJ01";"     532"
"192";"T001160";"GM0491";"2014JJ00";""
"193";"T001160";"GM0491";"2015HJ01";""
"194";"T001160";"GM0491";"2015JJ00";""
"195";"T001160";"GM0491";"2016HJ01";""
"196";"T001160";"GM0491";"2016JJ00";""
"197";"T001160";"GM0491";"2017HJ01";""
"198";"T001160";"GM1724";"2014JJ00";"     664"
"199";"T001160";"GM1724";"2015HJ01";"     299"
"200";"T001160";"GM1724";"2015JJ00";"     612"
"201";"T001160";"GM1724";"2016HJ01";"     301"
"202";"T001160";"GM1724";"2016JJ00";"     593"
"203";"T001160";"GM1724";"2017HJ01";"     310"
"204";"T001160";"GM0893";"2014JJ00";"     478"
"205";"T001160";"GM0893";"2015HJ01";"     226"
"206";"T001160";"GM0893";"2015JJ00";"     423"
"207";"T001160";"GM0893";"2016HJ01";"     214"
"208";"T001160";"GM0893";"2016JJ00";"     402"
"209";"T001160";"GM0893";"2017HJ01";"     170"
"210";"T001160";"GM0373";"2014JJ00";"    1231"
"211";"T001160";"GM0373";"2015HJ01";"     559"
"212";"T001160";"GM0373";"2015JJ00";"    1207"
"213";"T001160";"GM0373";"2016HJ01";"     541"
"214";"T001160";"GM0373";"2016JJ00";"    1181"
"215";"T001160";"GM0373";"2017HJ01";"     416"
"216";"T001160";"GM0748";"2014JJ00";"    4153"
"217";"T001160";"GM0748";"2015HJ01";"    1931"
"218";"T001160";"GM0748";"2015JJ00";"    3957"
"219";"T001160";"GM0748";"2016HJ01";"    1796"
"220";"T001160";"GM0748";"2016JJ00";"    3838"
"221";"T001160";"GM0748";"2017HJ01";"    1713"
"222";"T001160";"GM1859";"2014JJ00";"    1256"
"223";"T001160";"GM1859";"2015HJ01";"     560"
"224";"T001160";"GM1859";"2015JJ00";"    1112"
"225";"T001160";"GM1859";"2016HJ01";"     483"
"226";"T001160";"GM1859";"2016JJ00";"    1058"
"227";"T001160";"GM1859";"2017HJ01";"     461"
"228";"T001160";"GM1721";"2014JJ00";"    1152"
"229";"T001160";"GM1721";"2015HJ01";"     556"
"230";"T001160";"GM1721";"2015JJ00";"    1085"
"231";"T001160";"GM1721";"2016HJ01";"     535"
"232";"T001160";"GM1721";"2016JJ00";"    1037"
"233";"T001160";"GM1721";"2017HJ01";"     460"
"234";"T001160";"GM0568";"2014JJ00";""
"235";"T001160";"GM0568";"2015HJ01";""
"236";"T001160";"GM0568";"2015JJ00";""
"237";"T001160";"GM0568";"2016HJ01";""
"238";"T001160";"GM0568";"2016JJ00";""
"239";"T001160";"GM0568";"2017HJ01";""
"240";"T001160";"GM0753";"2014JJ00";"    1514"
"241";"T001160";"GM0753";"2015HJ01";"     726"
"242";"T001160";"GM0753";"2015JJ00";"    1379"
"243";"T001160";"GM0753";"2016HJ01";"     638"
"244";"T001160";"GM0753";"2016JJ00";"    1296"
"245";"T001160";"GM0753";"2017HJ01";"     565"
"246";"T001160";"GM0209";"2014JJ00";"    1006"
"247";"T001160";"GM0209";"2015HJ01";"     449"
"248";"T001160";"GM0209";"2015JJ00";"     848"
"249";"T001160";"GM0209";"2016HJ01";"     430"
"250";"T001160";"GM0209";"2016JJ00";"     880"
"251";"T001160";"GM0209";"2017HJ01";"     474"
"252";"T001160";"GM0375";"2014JJ00";"    2957"
"253";"T001160";"GM0375";"2015HJ01";"    1311"
"254";"T001160";"GM0375";"2015JJ00";"    2554"
"255";"T001160";"GM0375";"2016HJ01";"    1114"
"256";"T001160";"GM0375";"2016JJ00";"    2303"
"257";"T001160";"GM0375";"2017HJ01";"    1056"
"258";"T001160";"GM0063";"2014JJ00";"     230"
"259";"T001160";"GM0063";"2015HJ01";"     110"
"260";"T001160";"GM0063";"2015JJ00";"     222"
"261";"T001160";"GM0063";"2016HJ01";"     106"
"262";"T001160";"GM0063";"2016JJ00";"     266"
"263";"T001160";"GM0063";"2017HJ01";"     128"
"264";"T001160";"GM0310";"2014JJ00";"    1785"
"265";"T001160";"GM0310";"2015HJ01";"     876"
"266";"T001160";"GM0310";"2015JJ00";"    1782"
"267";"T001160";"GM0310";"2016HJ01";"     785"
"268";"T001160";"GM0310";"2016JJ00";"    1687"
"269";"T001160";"GM0310";"2017HJ01";"     770"
"270";"T001160";"GM0585";"2014JJ00";"     812"
"271";"T001160";"GM0585";"2015HJ01";"     388"
"272";"T001160";"GM0585";"2015JJ00";"     773"
"273";"T001160";"GM0585";"2016HJ01";"     355"
"274";"T001160";"GM0585";"2016JJ00";"     732"
"275";"T001160";"GM0585";"2017HJ01";"     314"
"276";"T001160";"GM1728";"2014JJ00";"     755"
"277";"T001160";"GM1728";"2015HJ01";"     419"
"278";"T001160";"GM1728";"2015JJ00";"     820"
"279";"T001160";"GM1728";"2016HJ01";"     429"
"280";"T001160";"GM1728";"2016JJ00";"     838"
"281";"T001160";"GM1728";"2017HJ01";"     335"
"282";"T001160";"GM0376";"2014JJ00";"     479"
"283";"T001160";"GM0376";"2015HJ01";"     209"
"284";"T001160";"GM0376";"2015JJ00";"     455"
"285";"T001160";"GM0376";"2016HJ01";"     256"
"286";"T001160";"GM0376";"2016JJ00";"     509"
"287";"T001160";"GM0376";"2017HJ01";"     222"
"288";"T001160";"GM0377";"2014JJ00";"    1218"
"289";"T001160";"GM0377";"2015HJ01";"     523"
"290";"T001160";"GM0377";"2015JJ00";"    1127"
"291";"T001160";"GM0377";"2016HJ01";"     461"
"292";"T001160";"GM0377";"2016JJ00";"    1010"
"293";"T001160";"GM0377";"2017HJ01";"     475"
"294";"T001160";"GM0055";"2014JJ00";""
"295";"T001160";"GM0055";"2015HJ01";""
"296";"T001160";"GM0055";"2015JJ00";""
"297";"T001160";"GM0055";"2016HJ01";""
"298";"T001160";"GM0055";"2016JJ00";""
"299";"T001160";"GM0055";"2017HJ01";""
"300";"T001160";"GM1901";"2014JJ00";"    1422"
"301";"T001160";"GM1901";"2015HJ01";"     627"
"302";"T001160";"GM1901";"2015JJ00";"    1211"
"303";"T001160";"GM1901";"2016HJ01";"     565"
"304";"T001160";"GM1901";"2016JJ00";"    1420"
"305";"T001160";"GM1901";"2017HJ01";"     652"
"306";"T001160";"GM0755";"2014JJ00";"     310"
"307";"T001160";"GM0755";"2015HJ01";"     140"
"308";"T001160";"GM0755";"2015JJ00";"     276"
"309";"T001160";"GM0755";"2016HJ01";"     159"
"310";"T001160";"GM0755";"2016JJ00";"     308"
"311";"T001160";"GM0755";"2017HJ01";"     117"
"312";"T001160";"GM0009";"2014JJ00";"     148"
"313";"T001160";"GM0009";"2015HJ01";"      57"
"314";"T001160";"GM0009";"2015JJ00";"     126"
"315";"T001160";"GM0009";"2016HJ01";"      76"
"316";"T001160";"GM0009";"2016JJ00";"     154"
"317";"T001160";"GM0009";"2017HJ01";"      65"
"318";"T001160";"GM1681";"2014JJ00";"     649"
"319";"T001160";"GM1681";"2015HJ01";"     343"
"320";"T001160";"GM1681";"2015JJ00";"     661"
"321";"T001160";"GM1681";"2016HJ01";"     291"
"322";"T001160";"GM1681";"2016JJ00";"     589"
"323";"T001160";"GM1681";"2017HJ01";"     258"
"324";"T001160";"GM0147";"2014JJ00";"     703"
"325";"T001160";"GM0147";"2015HJ01";"     335"
"326";"T001160";"GM0147";"2015JJ00";"     670"
"327";"T001160";"GM0147";"2016HJ01";"     275"
"328";"T001160";"GM0147";"2016JJ00";"     667"
"329";"T001160";"GM0147";"2017HJ01";"     305"
"330";"T001160";"GM0654";"2014JJ00";"     490"
"331";"T001160";"GM0654";"2015HJ01";"     282"
"332";"T001160";"GM0654";"2015JJ00";"     501"
"333";"T001160";"GM0654";"2016HJ01";"     206"
"334";"T001160";"GM0654";"2016JJ00";"     487"
"335";"T001160";"GM0654";"2017HJ01";"     271"
"336";"T001160";"GM0499";"2014JJ00";""
"337";"T001160";"GM0499";"2015HJ01";""
"338";"T001160";"GM0499";"2015JJ00";""
"339";"T001160";"GM0499";"2016HJ01";""
"340";"T001160";"GM0499";"2016JJ00";""
"341";"T001160";"GM0499";"2017HJ01";""
"342";"T001160";"GM0756";"2014JJ00";"    1092"
"343";"T001160";"GM0756";"2015HJ01";"     520"
"344";"T001160";"GM0756";"2015JJ00";"    1086"
"345";"T001160";"GM0756";"2016HJ01";"     539"
"346";"T001160";"GM0756";"2016JJ00";"    1010"
"347";"T001160";"GM0756";"2017HJ01";"     427"
"348";"T001160";"GM0757";"2014JJ00";"    1448"
"349";"T001160";"GM0757";"2015HJ01";"     737"
"350";"T001160";"GM0757";"2015JJ00";"    1428"
"351";"T001160";"GM0757";"2016HJ01";"     726"
"352";"T001160";"GM0757";"2016JJ00";"    1428"
"353";"T001160";"GM0757";"2017HJ01";"     591"
"354";"T001160";"GM0758";"2014JJ00";"   14053"
"355";"T001160";"GM0758";"2015HJ01";"    6599"
"356";"T001160";"GM0758";"2015JJ00";"   12941"
"357";"T001160";"GM0758";"2016HJ01";"    6061"
"358";"T001160";"GM0758";"2016JJ00";"   12577"
"359";"T001160";"GM0758";"2017HJ01";"    5868"
