Perioden;Crimes;Municipality;CrimeType
2014JJ00;650;Aa en Hunze;all crimes
2015JJ00;595;Aa en Hunze;all crimes
2016JJ00;613;Aa en Hunze;all crimes
2014JJ00;409;Aalburg;all crimes
2015JJ00;350;Aalburg;all crimes
2016JJ00;331;Aalburg;all crimes
2014JJ00;1190;Aalsmeer;all crimes
2015JJ00;1029;Aalsmeer;all crimes
2016JJ00;1153;Aalsmeer;all crimes
2014JJ00;651;Aalten;all crimes
2015JJ00;559;Aalten;all crimes
2016JJ00;634;Aalten;all crimes
2014JJ00;741;Achtkarspelen;all crimes
2015JJ00;693;Achtkarspelen;all crimes
2016JJ00;755;Achtkarspelen;all crimes
2014JJ00;746;Alblasserdam;all crimes
2015JJ00;787;Alblasserdam;all crimes
2016JJ00;722;Alblasserdam;all crimes
2014JJ00;1041;Albrandswaard;all crimes
2015JJ00;1043;Albrandswaard;all crimes
2016JJ00;1016;Albrandswaard;all crimes
2014JJ00;8117;Alkmaar;all crimes
2015JJ00;7269;Alkmaar;all crimes
2016JJ00;6896;Alkmaar;all crimes
2014JJ00;4412;Almelo;all crimes
2015JJ00;3949;Almelo;all crimes
2016JJ00;3967;Almelo;all crimes
2014JJ00;13138;Almere;all crimes
2015JJ00;11272;Almere;all crimes
2016JJ00;11200;Almere;all crimes
2014JJ00;4682;Alphen aan den Rijn;all crimes
2015JJ00;4257;Alphen aan den Rijn;all crimes
2016JJ00;4197;Alphen aan den Rijn;all crimes
2014JJ00;422;Alphen-Chaam;all crimes
2015JJ00;414;Alphen-Chaam;all crimes
2016JJ00;322;Alphen-Chaam;all crimes
2014JJ00;144;Ameland;all crimes
2015JJ00;124;Ameland;all crimes
2016JJ00;139;Ameland;all crimes
2014JJ00;9167;Amersfoort;all crimes
2015JJ00;8459;Amersfoort;all crimes
2016JJ00;8333;Amersfoort;all crimes
2014JJ00;4126;Amstelveen;all crimes
2015JJ00;4132;Amstelveen;all crimes
2016JJ00;4225;Amstelveen;all crimes
2014JJ00;92740;Amsterdam;all crimes
2015JJ00;91952;Amsterdam;all crimes
2016JJ00;89886;Amsterdam;all crimes
2014JJ00;9880;Apeldoorn;all crimes
2015JJ00;8535;Apeldoorn;all crimes
2016JJ00;8203;Apeldoorn;all crimes
2014JJ00;493;Appingedam;all crimes
2015JJ00;420;Appingedam;all crimes
2016JJ00;474;Appingedam;all crimes
2014JJ00;13353;Arnhem;all crimes
2015JJ00;12090;Arnhem;all crimes
2016JJ00;12523;Arnhem;all crimes
2014JJ00;3976;Assen;all crimes
2015JJ00;3639;Assen;all crimes
2016JJ00;3696;Assen;all crimes
2014JJ00;836;Asten;all crimes
2015JJ00;803;Asten;all crimes
2016JJ00;739;Asten;all crimes
2014JJ00;329;Baarle-Nassau;all crimes
2015JJ00;305;Baarle-Nassau;all crimes
2016JJ00;225;Baarle-Nassau;all crimes
2014JJ00;1255;Baarn;all crimes
2015JJ00;1209;Baarn;all crimes
2016JJ00;1264;Baarn;all crimes
2014JJ00;1937;Barendrecht;all crimes
2015JJ00;1838;Barendrecht;all crimes
2016JJ00;2066;Barendrecht;all crimes
2014JJ00;2040;Barneveld;all crimes
2015JJ00;1932;Barneveld;all crimes
2016JJ00;1991;Barneveld;all crimes
2014JJ00;251;Bedum;all crimes
2015JJ00;231;Bedum;all crimes
2016JJ00;191;Bedum;all crimes
2014JJ00;998;Beek (L.);all crimes
2015JJ00;990;Beek (L.);all crimes
2016JJ00;996;Beek (L.);all crimes
2014JJ00;256;Beemster;all crimes
2015JJ00;237;Beemster;all crimes
2016JJ00;278;Beemster;all crimes
2014JJ00;467;Beesel;all crimes
2015JJ00;403;Beesel;all crimes
2016JJ00;436;Beesel;all crimes
2014JJ00;217;Bellingwedde;all crimes
2015JJ00;192;Bellingwedde;all crimes
2016JJ00;205;Bellingwedde;all crimes
2014JJ00;;Berg en Dal;all crimes
2015JJ00;;Berg en Dal;all crimes
2016JJ00;1170;Berg en Dal;all crimes
2014JJ00;;Bergambacht;all crimes
2015JJ00;;Bergambacht;all crimes
2016JJ00;;Bergambacht;all crimes
2014JJ00;664;Bergeijk;all crimes
2015JJ00;612;Bergeijk;all crimes
2016JJ00;593;Bergeijk;all crimes
2014JJ00;478;Bergen (L.);all crimes
2015JJ00;423;Bergen (L.);all crimes
2016JJ00;402;Bergen (L.);all crimes
2014JJ00;1231;Bergen (NH.);all crimes
2015JJ00;1207;Bergen (NH.);all crimes
2016JJ00;1181;Bergen (NH.);all crimes
2014JJ00;4153;Bergen op Zoom;all crimes
2015JJ00;3957;Bergen op Zoom;all crimes
