	CBScode	Crimes	CrimeType
6	GM1680	650.0	Alle misdrijven
7	GM1680	284.0	Alle misdrijven
8	GM1680	595.0	Alle misdrijven
9	GM1680	296.0	Alle misdrijven
10	GM1680	613.0	Alle misdrijven
11	GM1680	249.0	Alle misdrijven
12	GM0738	409.0	Alle misdrijven
13	GM0738	219.0	Alle misdrijven
14	GM0738	350.0	Alle misdrijven
15	GM0738	151.0	Alle misdrijven
16	GM0738	331.0	Alle misdrijven
17	GM0738	147.0	Alle misdrijven
18	GM0358	1190.0	Alle misdrijven
19	GM0358	547.0	Alle misdrijven
20	GM0358	1029.0	Alle misdrijven
21	GM0358	567.0	Alle misdrijven
22	GM0358	1153.0	Alle misdrijven
23	GM0358	573.0	Alle misdrijven
24	GM0197	651.0	Alle misdrijven
25	GM0197	281.0	Alle misdrijven
26	GM0197	559.0	Alle misdrijven
27	GM0197	262.0	Alle misdrijven
28	GM0197	634.0	Alle misdrijven
29	GM0197	241.0	Alle misdrijven
30	GM0059	741.0	Alle misdrijven
31	GM0059	341.0	Alle misdrijven
32	GM0059	693.0	Alle misdrijven
33	GM0059	351.0	Alle misdrijven
34	GM0059	755.0	Alle misdrijven
35	GM0059	342.0	Alle misdrijven
36	GM0482	746.0	Alle misdrijven
37	GM0482	416.0	Alle misdrijven
38	GM0482	787.0	Alle misdrijven
39	GM0482	335.0	Alle misdrijven
40	GM0482	722.0	Alle misdrijven
41	GM0482	323.0	Alle misdrijven
42	GM0613	1041.0	Alle misdrijven
43	GM0613	502.0	Alle misdrijven
44	GM0613	1043.0	Alle misdrijven
45	GM0613	461.0	Alle misdrijven
46	GM0613	1016.0	Alle misdrijven
47	GM0613	482.0	Alle misdrijven
48	GM0361	8117.0	Alle misdrijven
49	GM0361	3699.0	Alle misdrijven
50	GM0361	7269.0	Alle misdrijven
51	GM0361	3406.0	Alle misdrijven
52	GM0361	6896.0	Alle misdrijven
53	GM0361	3000.0	Alle misdrijven
54	GM0141	4412.0	Alle misdrijven
55	GM0141	2063.0	Alle misdrijven
56	GM0141	3949.0	Alle misdrijven
57	GM0141	2013.0	Alle misdrijven
58	GM0141	3967.0	Alle misdrijven
59	GM0141	2068.0	Alle misdrijven
60	GM0034	13138.0	Alle misdrijven
61	GM0034	5712.0	Alle misdrijven
62	GM0034	11272.0	Alle misdrijven
63	GM0034	5453.0	Alle misdrijven
64	GM0034	11200.0	Alle misdrijven
65	GM0034	4936.0	Alle misdrijven
66	GM0484	4682.0	Alle misdrijven
67	GM0484	2269.0	Alle misdrijven
68	GM0484	4257.0	Alle misdrijven
69	GM0484	1891.0	Alle misdrijven
70	GM0484	4197.0	Alle misdrijven
71	GM0484	1918.0	Alle misdrijven
72	GM1723	422.0	Alle misdrijven
73	GM1723	203.0	Alle misdrijven
74	GM1723	414.0	Alle misdrijven
75	GM1723	162.0	Alle misdrijven
76	GM1723	322.0	Alle misdrijven
77	GM1723	141.0	Alle misdrijven
78	GM0060	144.0	Alle misdrijven
79	GM0060	48.0	Alle misdrijven
80	GM0060	124.0	Alle misdrijven
81	GM0060	49.0	Alle misdrijven
82	GM0060	139.0	Alle misdrijven
83	GM0060	32.0	Alle misdrijven
84	GM0307	9167.0	Alle misdrijven
85	GM0307	4286.0	Alle misdrijven
86	GM0307	8459.0	Alle misdrijven
87	GM0307	4094.0	Alle misdrijven
88	GM0307	8333.0	Alle misdrijven
89	GM0307	3886.0	Alle misdrijven
90	GM0362	4126.0	Alle misdrijven
91	GM0362	2094.0	Alle misdrijven
92	GM0362	4132.0	Alle misdrijven
93	GM0362	1915.0	Alle misdrijven
94	GM0362	4225.0	Alle misdrijven
95	GM0362	2062.0	Alle misdrijven
96	GM0363	92740.0	Alle misdrijven
97	GM0363	45468.0	Alle misdrijven
98	GM0363	91952.0	Alle misdrijven
99	GM0363	43640.0	Alle misdrijven
100	GM0363	89886.0	Alle misdrijven
101	GM0363	43349.0	Alle misdrijven
102	GM0200	9880.0	Alle misdrijven
103	GM0200	4479.0	Alle misdrijven
104	GM0200	8535.0	Alle misdrijven
105	GM0200	4067.0	Alle misdrijven
106	GM0200	8203.0	Alle misdrijven
107	GM0200	3726.0	Alle misdrijven
108	GM0003	493.0	Alle misdrijven
109	GM0003	201.0	Alle misdrijven
110	GM0003	420.0	Alle misdrijven
111	GM0003	223.0	Alle misdrijven
112	GM0003	474.0	Alle misdrijven
113	GM0003	189.0	Alle misdrijven
114	GM0202	13353.0	Alle misdrijven
115	GM0202	5989.0	Alle misdrijven
116	GM0202	12090.0	Alle misdrijven
117	GM0202	6027.0	Alle misdrijven
118	GM0202	12523.0	Alle misdrijven
119	GM0202	5976.0	Alle misdrijven
120	GM0106	3976.0	Alle misdrijven
121	GM0106	1798.0	Alle misdrijven
122	GM0106	3639.0	Alle misdrijven
123	GM0106	1815.0	Alle misdrijven
124	GM0106	3696.0	Alle misdrijven
125	GM0106	1737.0	Alle misdrijven
126	GM0743	836.0	Alle misdrijven
127	GM0743	419.0	Alle misdrijven
128	GM0743	803.0	Alle misdrijven
129	GM0743	376.0	Alle misdrijven
130	GM0743	739.0	Alle misdrijven
131	GM0743	317.0	Alle misdrijven
132	GM0744	329.0	Alle misdrijven
133	GM0744	165.0	Alle misdrijven
134	GM0744	305.0	Alle misdrijven
135	GM0744	105.0	Alle misdrijven
136	GM0744	225.0	Alle misdrijven
137	GM0744	129.0	Alle misdrijven
138	GM0308	1255.0	Alle misdrijven
139	GM0308	612.0	Alle misdrijven
140	GM0308	1209.0	Alle misdrijven
141	GM0308	663.0	Alle misdrijven
142	GM0308	1264.0	Alle misdrijven
143	GM0308	604.0	Alle misdrijven
144	GM0489	1937.0	Alle misdrijven
145	GM0489	857.0	Alle misdrijven
146	GM0489	1838.0	Alle misdrijven
147	GM0489	1000.0	Alle misdrijven
148	GM0489	2066.0	Alle misdrijven
149	GM0489	1056.0	Alle misdrijven
150	GM0203	2040.0	Alle misdrijven
151	GM0203	995.0	Alle misdrijven
152	GM0203	1932.0	Alle misdrijven
153	GM0203	942.0	Alle misdrijven
154	GM0203	1991.0	Alle misdrijven
155	GM0203	862.0	Alle misdrijven
156	GM0005	251.0	Alle misdrijven
157	GM0005	123.0	Alle misdrijven
158	GM0005	231.0	Alle misdrijven
159	GM0005	79.0	Alle misdrijven
160	GM0005	191.0	Alle misdrijven
161	GM0005	69.0	Alle misdrijven
162	GM0888	998.0	Alle misdrijven
163	GM0888	520.0	Alle misdrijven
