Perioden	CBScode	Crimes	CrimeType
2014JJ00	GM1680	650	all crimes
2015JJ00	GM1680	595	
2016JJ00	GM1680	613	all crimes
2014JJ00	GM0738	409	all crimes
2015JJ00	GM0738	350	all crimes
2016JJ00	GM0738	331	all crimes
2014JJ00	GM0358	1190	all crimes
2015JJ00	GM0358	1029	all crimes
2016JJ00	GM0358	1153	all crimes
2014JJ00	GM0197	651	all crimes
2015JJ00	GM0197	559	all crimes
2016JJ00	GM0197	634	all crimes
2014JJ00	GM0059	741	all crimes
2015JJ00	GM0059	693	all crimes
2016JJ00	GM0059	755	all crimes
2014JJ00	GM0482	746	all crimes
2015JJ00	GM0482	787	all crimes
2016JJ00	GM0482	722	all crimes
2014JJ00	GM0613	1041	all crimes
2015JJ00	GM0613	1043	all crimes
2016JJ00	GM0613	1016	all crimes
2014JJ00	GM0361	8117	all crimes
2015JJ00	GM0361	7269	all crimes
2016JJ00	GM0361	6896	all crimes
2014JJ00	GM0141	4412	all crimes
2015JJ00	GM0141	3949	all crimes
2016JJ00	GM0141	3967	all crimes
2014JJ00	GM0034	13138	all crimes
2015JJ00	GM0034	11272	all crimes
2016JJ00	GM0034	11200	all crimes
2014JJ00	GM0484	4682	all crimes
2015JJ00	GM0484	4257	all crimes
2016JJ00	GM0484	4197	all crimes
2014JJ00	GM1723	422	all crimes
2015JJ00	GM1723	414	all crimes
2016JJ00	GM1723	322	all crimes
2014JJ00	GM0060	144	all crimes
2015JJ00	GM0060	124	all crimes
2016JJ00	GM0060	139	all crimes
2014JJ00	GM0307	9167	all crimes
2015JJ00	GM0307	8459	all crimes
2016JJ00	GM0307	8333	all crimes
2014JJ00	GM0362	4126	all crimes
2015JJ00	GM0362	4132	all crimes
2016JJ00	GM0362	4225	all crimes
2014JJ00	GM0363	92740	all crimes
2015JJ00	GM0363	91952	all crimes
2016JJ00	GM0363	89886	all crimes
2014JJ00	GM0200	9880	all crimes
2015JJ00	GM0200	8535	all crimes
2016JJ00	GM0200	8203	all crimes
2014JJ00	GM0003	493	all crimes
2015JJ00	GM0003	420	all crimes
2016JJ00	GM0003	474	all crimes
2014JJ00	GM0202	13353	all crimes
2015JJ00	GM0202	12090	all crimes
2016JJ00	GM0202	12523	all crimes
2014JJ00	GM0106	3976	all crimes
2015JJ00	GM0106	3639	all crimes
2016JJ00	GM0106	3696	all crimes
2014JJ00	GM0743	836	all crimes
2015JJ00	GM0743	803	all crimes
2016JJ00	GM0743	739	all crimes
2014JJ00	GM0744	329	all crimes
2015JJ00	GM0744	305	all crimes
2016JJ00	GM0744	225	all crimes
2014JJ00	GM0308	1255	all crimes
2015JJ00	GM0308	1209	all crimes
2016JJ00	GM0308	1264	all crimes
2014JJ00	GM0489	1937	all crimes
2015JJ00	GM0489	1838	all crimes
2016JJ00	GM0489	2066	all crimes
2014JJ00	GM0203	2040	all crimes
2015JJ00	GM0203	1932	all crimes
2016JJ00	GM0203	1991	all crimes
2014JJ00	GM0005	251	all crimes
2015JJ00	GM0005	231	all crimes
2016JJ00	GM0005	191	all crimes
2014JJ00	GM0888	998	all crimes
2015JJ00	GM0888	990	all crimes
2016JJ00	GM0888	996	all crimes
2014JJ00	GM0370	256	all crimes
2015JJ00	GM0370	237	all crimes
2016JJ00	GM0370	278	all crimes
2014JJ00	GM0889	467	all crimes
2015JJ00	GM0889	403	all crimes
2016JJ00	GM0889	436	all crimes
2014JJ00	GM0007	217	all crimes
2015JJ00	GM0007	192	all crimes
2016JJ00	GM0007	205	all crimes
2014JJ00	GM1945		all crimes
2015JJ00	GM1945		all crimes
2016JJ00	GM1945	1170	all crimes
2014JJ00	GM0491		all crimes
2015JJ00	GM0491		all crimes
2016JJ00	GM0491		all crimes
2014JJ00	GM1724	664	all crimes
2015JJ00	GM1724	612	all crimes
2016JJ00	GM1724	593	all crimes
2014JJ00	GM0893	478	all crimes
2015JJ00	GM0893	423	all crimes
2016JJ00	GM0893	402	all crimes
2014JJ00	GM0373	1231	all crimes
2015JJ00	GM0373	1207	all crimes
2016JJ00	GM0373	1181	all crimes
2014JJ00	GM0748	4153	all crimes
2015JJ00	GM0748	3957	all crimes
2016JJ00	GM0748	3838	all crimes
2014JJ00	GM1859	1256	all crimes
2015JJ00	GM1859	1112	all crimes
2016JJ00	GM1859	1058	all crimes
2014JJ00	GM1721	1152	all crimes
2015JJ00	GM1721	1085	all crimes
2016JJ00	GM1721	1037	all crimes
2014JJ00	GM0568		all crimes
2015JJ00	GM0568		all crimes
2016JJ00	GM0568		all crimes
2014JJ00	GM0753	1514	all crimes
2015JJ00	GM0753	1379	all crimes
2016JJ00	GM0753	1296	all crimes
2014JJ00	GM0209	1006	all crimes
2015JJ00	GM0209	848	all crimes
2016JJ00	GM0209	880	all crimes
2014JJ00	GM0375	2957	all crimes
2015JJ00	GM0375	2554	all crimes
2016JJ00	GM0375	2303	all crimes
2014JJ00	GM0063	230	all crimes
2015JJ00	GM0063	222	all crimes
2016JJ00	GM0063	266	all crimes
2014JJ00	GM0310	1785	all crimes
2015JJ00	GM0310	1782	all crimes
2016JJ00	GM0310	1687	all crimes
2014JJ00	GM0585	812	all crimes
2015JJ00	GM0585	773	all crimes
2016JJ00	GM0585	732	all crimes
2014JJ00	GM1728	755	all crimes
2015JJ00	GM1728	820	all crimes
2016JJ00	GM1728	838	all crimes
2014JJ00	GM0376	479	all crimes
2015JJ00	GM0376	455	all crimes
2016JJ00	GM0376	509	all crimes
2014JJ00	GM0377	1218	all crimes
2015JJ00	GM0377	1127	all crimes
2016JJ00	GM0377	1010	all crimes
2014JJ00	GM0055		all crimes
2015JJ00	GM0055		all crimes
2016JJ00	GM0055		all crimes
2014JJ00	GM1901	1422	all crimes
2015JJ00	GM1901	1211	all crimes
2016JJ00	GM1901	1420	all crimes
2014JJ00	GM0755	310	all crimes
2015JJ00	GM0755	276	all crimes
2016JJ00	GM0755	308	all crimes
2014JJ00	GM0009	148	all crimes
2015JJ00	GM0009	126	all crimes
2016JJ00	GM0009	154	all crimes
2014JJ00	GM1681	649	all crimes
2015JJ00	GM1681	661	all crimes
2016JJ00	GM1681	589	all crimes
2014JJ00	GM0147	703	all crimes
2015JJ00	GM0147	670	all crimes
2016JJ00	GM0147	667	all crimes
2014JJ00	GM0654	490	all crimes
2015JJ00	GM0654	501	all crimes
2016JJ00	GM0654	487	all crimes
2014JJ00	GM0499		all crimes
2015JJ00	GM0499		all crimes
2016JJ00	GM0499		all crimes
2014JJ00	GM0756	1092	all crimes
2015JJ00	GM0756	1086	all crimes
2016JJ00	GM0756	1010	all crimes
2014JJ00	GM0757	1448	all crimes
2015JJ00	GM0757	1428	all crimes
2016JJ00	GM0757	1428	all crimes
2014JJ00	GM0758	14053	all crimes
2015JJ00	GM0758	12941	all crimes
2016JJ00	GM0758	12577	all crimes
2014JJ00	GM0501	743	all crimes
2015JJ00	GM0501	845	all crimes
2016JJ00	GM0501	635	all crimes
2014JJ00	GM1876	933	all crimes
2015JJ00	GM1876	745	all crimes
2016JJ00	GM1876	751	all crimes
2014JJ00	GM0213	746	all crimes
2015JJ00	GM0213	704	all crimes
2016JJ00	GM0213	619	all crimes
2014JJ00	GM0899	1905	all crimes
2015JJ00	GM0899	1800	all crimes
2016JJ00	GM0899	1729	all crimes
2014JJ00	GM0312	625	all crimes
2015JJ00	GM0312	624	all crimes
2016JJ00	GM0312	582	all crimes
2014JJ00	GM0313	649	all crimes
2015JJ00	GM0313	713	all crimes
2016JJ00	GM0313	639	all crimes
2014JJ00	GM0214	826	all crimes
2015JJ00	GM0214	666	all crimes
2016JJ00	GM0214	751	all crimes
2014JJ00	GM0381	1887	all crimes
2015JJ00	GM0381	1718	all crimes
2016JJ00	GM0381		all crimes
2014JJ00	GM0502	3710	all crimes
2015JJ00	GM0502	3486	all crimes
2016JJ00	GM0502	3404	all crimes
2014JJ00	GM0383	1487	all crimes
2015JJ00	GM0383	1335	all crimes
2016JJ00	GM0383	1233	all crimes
2014JJ00	GM0109	1624	all crimes
2015JJ00	GM0109	1352	all crimes
2016JJ00	GM0109	1281	all crimes
2014JJ00	GM1706	891	all crimes
2015JJ00	GM1706	798	all crimes
2016JJ00	GM1706	866	all crimes
2014JJ00	GM0611	396	all crimes
2015JJ00	GM0611	386	all crimes
2016JJ00	GM0611	342	all crimes
2014JJ00	GM1684	1078	all crimes
2015JJ00	GM1684	990	all crimes
2016JJ00	GM1684	967	all crimes
2014JJ00	GM0216	1778	all crimes
2015JJ00	GM0216	1535	all crimes
2016JJ00	GM0216	1620	all crimes
2014JJ00	GM0148	527	all crimes
2015JJ00	GM0148	456	all crimes
2016JJ00	GM0148	469	all crimes
2014JJ00	GM1891	464	all crimes
2015JJ00	GM1891	421	all crimes
2016JJ00	GM1891	426	all crimes
2014JJ00	GM0503	6966	all crimes
2015JJ00	GM0503	6316	all crimes
2016JJ00	GM0503	6484	all crimes
2014JJ00	GM0010	986	all crimes
2015JJ00	GM0010	942	all crimes
2016JJ00	GM0010	1107	all crimes
2014JJ00	GM0762	1473	all crimes
2015JJ00	GM0762	1411	all crimes
2016JJ00	GM0762	1292	all crimes
2014JJ00	GM0150	6334	all crimes
2015JJ00	GM0150	5389	all crimes
2016JJ00	GM0150	5533	all crimes
2014JJ00	GM0384	1661	all crimes
2015JJ00	GM0384	1638	all crimes
2016JJ00	GM0384	1611	all crimes
2014JJ00	GM1774	523	all crimes
2015JJ00	GM1774	529	all crimes
2016JJ00	GM1774	517	all crimes
2014JJ00	GM0221	487	all crimes
2015JJ00	GM0221	532	all crimes
2016JJ00	GM0221	497	all crimes
2014JJ00	GM0222	2816	all crimes
2015JJ00	GM0222	2487	all crimes
2016JJ00	GM0222	2328	all crimes
2014JJ00	GM0766	1179	all crimes
2015JJ00	GM0766	1048	all crimes
2016JJ00	GM0766	838	all crimes
2014JJ00	GM0058	781	all crimes
2015JJ00	GM0058	544	all crimes
2016JJ00	GM0058	582	all crimes
2014JJ00	GM0505	8636	all crimes
2015JJ00	GM0505	7736	all crimes
2016JJ00	GM0505	7203	all crimes
2014JJ00	GM0498	579	all crimes
2015JJ00	GM0498	590	all crimes
2016JJ00	GM0498	508	all crimes
2014JJ00	GM1719	910	all crimes
2015JJ00	GM1719	900	all crimes
2016JJ00	GM1719	783	all crimes
2014JJ00	GM0303	1927	all crimes
2015JJ00	GM0303	1682	all crimes
2016JJ00	GM0303	1690	all crimes
2014JJ00	GM0225	596	all crimes
2015JJ00	GM0225	578	all crimes
2016JJ00	GM0225	669	all crimes
2014JJ00	GM0226	1033	all crimes
2015JJ00	GM0226	888	all crimes
2016JJ00	GM0226	894	all crimes
2014JJ00	GM1711	1441	all crimes
2015JJ00	GM1711	1360	all crimes
2016JJ00	GM1711	1247	all crimes
2014JJ00	GM0385	826	all crimes
2015JJ00	GM0385	777	all crimes
2016JJ00	GM0385	785	all crimes
2014JJ00	GM0228	4813	all crimes
2015JJ00	GM0228	4643	all crimes
2016JJ00	GM0228	5282	all crimes
2014JJ00	GM0317	327	all crimes
2015JJ00	GM0317	317	all crimes
2016JJ00	GM0317	335	all crimes
2014JJ00	GM1651	464	all crimes
2015JJ00	GM1651	372	all crimes
2016JJ00	GM1651	427	all crimes
2014JJ00	GM0770	790	all crimes
2015JJ00	GM0770	786	all crimes
2016JJ00	GM0770	846	all crimes
2014JJ00	GM1903	940	all crimes
2015JJ00	GM1903	762	all crimes
2016JJ00	GM1903	760	all crimes
2014JJ00	GM0772	22510	all crimes
2015JJ00	GM0772	21255	all crimes
2016JJ00	GM0772	20944	all crimes
2014JJ00	GM0230	706	all crimes
2015JJ00	GM0230	708	all crimes
2016JJ00	GM0230	634	all crimes
2014JJ00	GM0114	5752	all crimes
2015JJ00	GM0114	5158	all crimes
2016JJ00	GM0114	4751	all crimes
2014JJ00	GM0388	1108	all crimes
2015JJ00	GM0388	1085	all crimes
2016JJ00	GM0388	962	all crimes
2014JJ00	GM0153	12267	all crimes
2015JJ00	GM0153	10748	all crimes
2016JJ00	GM0153	10945	all crimes
2014JJ00	GM0232	1214	all crimes
2015JJ00	GM0232	1126	all crimes
2016JJ00	GM0232	1148	all crimes
2014JJ00	GM0233	1358	all crimes
2015JJ00	GM0233	1209	all crimes
2016JJ00	GM0233	1311	all crimes
2014JJ00	GM0777	2405	all crimes
2015JJ00	GM0777	2152	all crimes
2016JJ00	GM0777	2120	all crimes
2014JJ00	GM1722	183	all crimes
2015JJ00	GM1722	156	all crimes
2016JJ00	GM1722	172	all crimes
2014JJ00	GM0070	662	all crimes
2015JJ00	GM0070	701	all crimes
2016JJ00	GM0070	610	all crimes
2014JJ00	GM1921	1625	all crimes
2015JJ00	GM1921	1486	all crimes
2016JJ00	GM1921		all crimes
2014JJ00	GM1940		all crimes
2015JJ00	GM1940		all crimes
2016JJ00	GM1940	1684	all crimes
