	CBScode	Perioden	  HIC: Theft / burglary dwelling, complete	  HIC: Theft / burglary dwelling, attempts	HIC: Violent Crime	HIC: Street Roof	HIC: Robberies	Undermining public order	Threat	Fire / Explosion	Theft of moped, moped, bike	Theft of / from vehicles	Theft of motor vehicles	Theft / burglary companies / institutions	Theft / burglary garage / barn / shed	Drug trafficking	Trespassing	mistreatment	Overt violence (person)	Or destruction. cause damage	Arms Trade	pickpocketing	morals Felony	Municipality	Province	Population	Population_density(p/km)	Municipality Size
0	GM0003	2014JJ00	17.0	8.0	82.0	0.0	1.0	1.0	31.0	4.0	100.0	8.0	3.0	17.0	2.0	7.0	0.0	47.0	4.0	78.0	0.0	2.0	5.0	Appingedam	Groningen	12049.0	507.0	Small
1	GM0003	2015JJ00	26.0	7.0	67.0	0.0	0.0	2.0	30.0	2.0	48.0	14.0	1.0	22.0	5.0	6.0	1.0	36.0	1.0	57.0	2.0	4.0	4.0	Appingedam	Groningen	12049.0	507.0	Small
2	GM0003	2016JJ00	24.0	12.0	67.0	0.0	1.0	3.0	27.0	0.0	27.0	11.0	5.0	56.0	6.0	2.0	0.0	40.0	0.0	54.0	1.0	3.0	3.0	Appingedam	Groningen	12049.0	507.0	Small
3	GM0003	2017JJ00	10.0	2.0	72.0	2.0	4.0	4.0	18.0	6.0	38.0	10.0	4.0	20.0	8.0	2.0	0.0	46.0	8.0	34.0	0.0	0.0	8.0	Appingedam	Groningen	12049.0	507.0	Small
4	GM0005	2014JJ00	13.0	5.0	22.0	0.0	1.0	0.0	8.0	0.0	26.0	10.0	0.0	10.0	2.0	4.0	0.0	14.0	0.0	80.0	0.0	6.0	0.0	Bedum	Groningen	10475.0	236.0	Small
5	GM0005	2015JJ00	0.0	2.0	22.0	0.0	0.0	0.0	10.0	0.0	24.0	9.0	1.0	7.0	0.0	0.0	0.0	12.0	0.0	64.0	0.0	0.0	6.0	Bedum	Groningen	10475.0	236.0	Small
6	GM0005	2016JJ00	10.0	2.0	19.0	0.0	0.0	0.0	5.0	1.0	14.0	2.0	0.0	2.0	3.0	1.0	0.0	14.0	0.0	44.0	0.0	1.0	6.0	Bedum	Groningen	10475.0	236.0	Small
7	GM0005	2017JJ00	12.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	16.0	0.0	2.0	4.0	Bedum	Groningen	10475.0	236.0	Small
8	GM0007	2014JJ00	9.0	4.0	35.0	0.0	0.0	0.0	12.0	2.0	7.0	4.0	1.0	7.0	8.0	5.0	2.0	23.0	0.0	30.0	1.0	0.0	3.0	Bellingwedde	Groningen	8908.0	86.0	Small
9	GM0007	2015JJ00	10.0	2.0	31.0	1.0	0.0	1.0	15.0	4.0	8.0	2.0	0.0	3.0	5.0	6.0	1.0	14.0	2.0	28.0	0.0	0.0	5.0	Bellingwedde	Groningen	8908.0	86.0	Small
