Periods,BicycleTheftBicycleOwnersOnly_13,BicycleTheft_12,BurglaryOnlyHouseholds_11,Burglary_10,CarTheftCarUsersOnly_15,CarTheft_14,HarassmentByPhone_25,HitAndRunAccidents_24,OtherOffences_26,OtherThefts_19,OtherVandalism_23,Periods,PersonalCharacteristics,PhysicalAbuse_7,Pickpocketing_18,SexualOffencesOnlyWomen_6,SexualOffences_5,TheftFromCarsCarUsersOnly_17,TheftFromDamageToCarCarUsers_22,TheftFromDamageToCar_21,TheftsFromCars_16,Threat_8,TotalThefts_9,TotalVandalism_20,TotalViolentCrimes_4,VictimOfMoreThanOneTypeOfOffence_3,VictimOfTheOneTypeOfOffence_2,VictimsTotal_1,KeyCharacteristics,Title,CategoryGroupID
1997JJ00,5.7,4.9,2.6,2.3,0.4,0.2,7.2,1.4,0.5,3.4,5.0,1997JJ00,10 ,1.6,2.0,2.1,1.2,3.5,11.2,6.2,1.9,2.9,13.3,10.4,5.2,5.3,20.6,25.8,10,Total personal characteristics,1
1998JJ00,5.8,5.0,1.8,1.6,0.3,0.2,6.9,1.3,0.7,3.9,5.3,1998JJ00,10 ,1.9,2.2,2.0,1.1,2.9,12.0,6.6,1.6,3.2,13.0,11.1,5.7,5.5,20.9,26.4,10,Total personal characteristics,1
1999JJ00,5.3,4.6,2.1,1.9,0.4,0.2,6.9,1.5,0.6,3.1,5.4,1999JJ00,10 ,1.8,2.1,1.9,1.1,3.3,12.5,7.1,1.9,3.4,12.6,11.6,5.6,5.5,21.0,26.5,10,Total personal characteristics,1
2000JJ00,5.7,5.0,1.8,1.8,0.4,0.3,5.7,1.5,0.6,3.1,5.1,2000JJ00,10 ,1.4,2.1,1.8,1.0,3.1,12.1,7.0,1.8,3.1,12.4,11.1,5.1,5.1,21.0,26.0,10,Total personal characteristics,1
2001JJ00,5.3,4.6,1.7,1.6,0.2,0.1,5.2,1.4,0.7,3.0,4.7,2001JJ00,10 ,1.8,2.0,1.8,1.1,3.6,11.2,6.6,2.1,3.5,12.1,10.6,5.9,5.4,19.8,25.2,10,Total personal characteristics,1
2002JJ00,5.2,4.6,2.0,1.8,0.3,0.2,4.6,1.6,0.7,3.1,5.2,2002JJ00,10 ,1.8,2.2,2.2,1.2,4.3,13.0,7.8,2.6,3.7,12.9,12.0,6.0,5.8,21.5,27.3,10,Total personal characteristics,1
2003JJ00,5.2,4.6,1.3,1.3,0.2,0.1,4.8,1.5,0.8,2.8,4.3,2003JJ00,10 ,1.9,2.0,1.5,0.9,4.0,12.6,7.6,2.4,3.6,11.9,11.0,5.8,5.0,20.7,25.7,10,Total personal characteristics,1
2004JJ00,5.4,4.8,1.5,1.5,0.3,0.2,4.7,1.4,0.8,3.1,5.0,2004JJ00,10 ,1.7,1.7,1.5,0.8,3.5,12.3,7.5,2.1,3.3,12.1,11.4,5.3,5.4,20.2,25.6,10,Total personal characteristics,1
1997JJ00,5.9,4.6,,2.4,0.5,0.3,5.1,1.9,0.6,3.9,5.5,1997JJ00,11 ,2.2,1.2,,0.3,3.8,11.3,7.9,2.6,3.9,13.4,12.3,6.0,6.2,21.7,27.9,11,Men,2
1998JJ00,5.8,5.1,,1.8,0.3,0.2,5.1,1.4,0.6,3.6,5.3,1998JJ00,11 ,2.8,1.8,,0.3,3.4,11.9,8.4,2.4,4.8,13.1,12.5,7.3,6.4,22.4,28.8,11,Men,2
