Perioden,Crimes,Municipality,CrimeType
2014JJ00,650.0,Aa en Hunze,Alle misdrijven
2015JJ00,595.0,Aa en Hunze,Alle misdrijven
2016JJ00,613.0,Aa en Hunze,Alle misdrijven
2014JJ00,409.0,Aalburg,Alle misdrijven
2015JJ00,350.0,Aalburg,Alle misdrijven
2016JJ00,331.0,Aalburg,Alle misdrijven
2014JJ00,1190.0,Aalsmeer,Alle misdrijven
2015JJ00,1029.0,Aalsmeer,Alle misdrijven
2016JJ00,1153.0,Aalsmeer,Alle misdrijven
2014JJ00,651.0,Aalten,Alle misdrijven
2015JJ00,559.0,Aalten,Alle misdrijven
2016JJ00,634.0,Aalten,Alle misdrijven
2014JJ00,741.0,Achtkarspelen,Alle misdrijven
2015JJ00,693.0,Achtkarspelen,Alle misdrijven
2016JJ00,755.0,Achtkarspelen,Alle misdrijven
2014JJ00,746.0,Alblasserdam,Alle misdrijven
2015JJ00,787.0,Alblasserdam,Alle misdrijven
2016JJ00,722.0,Alblasserdam,Alle misdrijven
2014JJ00,1041.0,Albrandswaard,Alle misdrijven
2015JJ00,1043.0,Albrandswaard,Alle misdrijven
2016JJ00,1016.0,Albrandswaard,Alle misdrijven
2014JJ00,8117.0,Alkmaar,Alle misdrijven
2015JJ00,7269.0,Alkmaar,Alle misdrijven
2016JJ00,6896.0,Alkmaar,Alle misdrijven
2014JJ00,4412.0,Almelo,Alle misdrijven
2015JJ00,3949.0,Almelo,Alle misdrijven
2016JJ00,3967.0,Almelo,Alle misdrijven
2014JJ00,13138.0,Almere,Alle misdrijven
2015JJ00,11272.0,Almere,Alle misdrijven
2016JJ00,11200.0,Almere,Alle misdrijven
2014JJ00,4682.0,Alphen aan den Rijn,Alle misdrijven
2015JJ00,4257.0,Alphen aan den Rijn,Alle misdrijven
2016JJ00,4197.0,Alphen aan den Rijn,Alle misdrijven
2014JJ00,422.0,Alphen-Chaam,Alle misdrijven
2015JJ00,414.0,Alphen-Chaam,Alle misdrijven
2016JJ00,322.0,Alphen-Chaam,Alle misdrijven
2014JJ00,144.0,Ameland,Alle misdrijven
2015JJ00,124.0,Ameland,Alle misdrijven
2016JJ00,139.0,Ameland,Alle misdrijven
2014JJ00,9167.0,Amersfoort,Alle misdrijven
2015JJ00,8459.0,Amersfoort,Alle misdrijven
2016JJ00,8333.0,Amersfoort,Alle misdrijven
2014JJ00,4126.0,Amstelveen,Alle misdrijven
2015JJ00,4132.0,Amstelveen,Alle misdrijven
2016JJ00,4225.0,Amstelveen,Alle misdrijven
2014JJ00,92740.0,Amsterdam,Alle misdrijven
2015JJ00,91952.0,Amsterdam,Alle misdrijven
2016JJ00,89886.0,Amsterdam,Alle misdrijven
2014JJ00,9880.0,Apeldoorn,Alle misdrijven
2015JJ00,8535.0,Apeldoorn,Alle misdrijven
2016JJ00,8203.0,Apeldoorn,Alle misdrijven
2014JJ00,493.0,Appingedam,Alle misdrijven
2015JJ00,420.0,Appingedam,Alle misdrijven
2016JJ00,474.0,Appingedam,Alle misdrijven
2014JJ00,13353.0,Arnhem,Alle misdrijven
2015JJ00,12090.0,Arnhem,Alle misdrijven
2016JJ00,12523.0,Arnhem,Alle misdrijven
2014JJ00,3976.0,Assen,Alle misdrijven
2015JJ00,3639.0,Assen,Alle misdrijven
2016JJ00,3696.0,Assen,Alle misdrijven
2014JJ00,836.0,Asten,Alle misdrijven
2015JJ00,803.0,Asten,Alle misdrijven
2016JJ00,739.0,Asten,Alle misdrijven
2014JJ00,329.0,Baarle-Nassau,Alle misdrijven
2015JJ00,305.0,Baarle-Nassau,Alle misdrijven
2016JJ00,225.0,Baarle-Nassau,Alle misdrijven
2014JJ00,1255.0,Baarn,Alle misdrijven
2015JJ00,1209.0,Baarn,Alle misdrijven
2016JJ00,1264.0,Baarn,Alle misdrijven
2014JJ00,1937.0,Barendrecht,Alle misdrijven
2015JJ00,1838.0,Barendrecht,Alle misdrijven
2016JJ00,2066.0,Barendrecht,Alle misdrijven
2014JJ00,2040.0,Barneveld,Alle misdrijven
2015JJ00,1932.0,Barneveld,Alle misdrijven
2016JJ00,1991.0,Barneveld,Alle misdrijven
2014JJ00,251.0,Bedum,Alle misdrijven
2015JJ00,231.0,Bedum,Alle misdrijven
2016JJ00,191.0,Bedum,Alle misdrijven
2014JJ00,998.0,Beek (L.),Alle misdrijven
2015JJ00,990.0,Beek (L.),Alle misdrijven
2016JJ00,996.0,Beek (L.),Alle misdrijven
2014JJ00,256.0,Beemster,Alle misdrijven
2015JJ00,237.0,Beemster,Alle misdrijven
2016JJ00,278.0,Beemster,Alle misdrijven
2014JJ00,467.0,Beesel,Alle misdrijven
2015JJ00,403.0,Beesel,Alle misdrijven
2016JJ00,436.0,Beesel,Alle misdrijven
2014JJ00,217.0,Bellingwedde,Alle misdrijven
2015JJ00,192.0,Bellingwedde,Alle misdrijven
2016JJ00,205.0,Bellingwedde,Alle misdrijven
2014JJ00,,Berg en Dal,Alle misdrijven
2015JJ00,,Berg en Dal,Alle misdrijven
2016JJ00,1170.0,Berg en Dal,Alle misdrijven
2014JJ00,,Bergambacht,Alle misdrijven
2015JJ00,,Bergambacht,Alle misdrijven
2016JJ00,,Bergambacht,Alle misdrijven
2014JJ00,664.0,Bergeijk,Alle misdrijven
2015JJ00,612.0,Bergeijk,Alle misdrijven
2016JJ00,593.0,Bergeijk,Alle misdrijven
2014JJ00,478.0,Bergen (L.),Alle misdrijven
2015JJ00,423.0,Bergen (L.),Alle misdrijven
2016JJ00,402.0,Bergen (L.),Alle misdrijven
2014JJ00,1231.0,Bergen (NH.),Alle misdrijven
2015JJ00,1207.0,Bergen (NH.),Alle misdrijven
2016JJ00,1181.0,Bergen (NH.),Alle misdrijven
2014JJ00,4153.0,Bergen op Zoom,Alle misdrijven
2015JJ00,3957.0,Bergen op Zoom,Alle misdrijven
2016JJ00,3838.0,Bergen op Zoom,Alle misdrijven
2014JJ00,1256.0,Berkelland,Alle misdrijven
2015JJ00,1112.0,Berkelland,Alle misdrijven
2016JJ00,1058.0,Berkelland,Alle misdrijven
2014JJ00,1152.0,Bernheze,Alle misdrijven
2015JJ00,1085.0,Bernheze,Alle misdrijven
2016JJ00,1037.0,Bernheze,Alle misdrijven
2014JJ00,,Bernisse,Alle misdrijven
2015JJ00,,Bernisse,Alle misdrijven
2016JJ00,,Bernisse,Alle misdrijven
2014JJ00,1514.0,Best,Alle misdrijven
2015JJ00,1379.0,Best,Alle misdrijven
2016JJ00,1296.0,Best,Alle misdrijven
2014JJ00,1006.0,Beuningen,Alle misdrijven
2015JJ00,848.0,Beuningen,Alle misdrijven
2016JJ00,880.0,Beuningen,Alle misdrijven
2014JJ00,2957.0,Beverwijk,Alle misdrijven
2015JJ00,2554.0,Beverwijk,Alle misdrijven
2016JJ00,2303.0,Beverwijk,Alle misdrijven
2014JJ00,230.0,het Bildt,Alle misdrijven
2015JJ00,222.0,het Bildt,Alle misdrijven
2016JJ00,266.0,het Bildt,Alle misdrijven
2014JJ00,1785.0,De Bilt,Alle misdrijven
2015JJ00,1782.0,De Bilt,Alle misdrijven
2016JJ00,1687.0,De Bilt,Alle misdrijven
2014JJ00,812.0,Binnenmaas,Alle misdrijven
2015JJ00,773.0,Binnenmaas,Alle misdrijven
2016JJ00,732.0,Binnenmaas,Alle misdrijven
2014JJ00,755.0,Bladel,Alle misdrijven
2015JJ00,820.0,Bladel,Alle misdrijven
2016JJ00,838.0,Bladel,Alle misdrijven
2014JJ00,479.0,Blaricum,Alle misdrijven
2015JJ00,455.0,Blaricum,Alle misdrijven
2016JJ00,509.0,Blaricum,Alle misdrijven
2014JJ00,1218.0,Bloemendaal,Alle misdrijven
2015JJ00,1127.0,Bloemendaal,Alle misdrijven
2016JJ00,1010.0,Bloemendaal,Alle misdrijven
2014JJ00,,Boarnsterhim,Alle misdrijven
2015JJ00,,Boarnsterhim,Alle misdrijven
2016JJ00,,Boarnsterhim,Alle misdrijven
2014JJ00,1422.0,Bodegraven-Reeuwijk,Alle misdrijven
2015JJ00,1211.0,Bodegraven-Reeuwijk,Alle misdrijven
2016JJ00,1420.0,Bodegraven-Reeuwijk,Alle misdrijven
2014JJ00,310.0,Boekel,Alle misdrijven
2015JJ00,276.0,Boekel,Alle misdrijven
2016JJ00,308.0,Boekel,Alle misdrijven
2014JJ00,148.0,Ten Boer,Alle misdrijven
2015JJ00,126.0,Ten Boer,Alle misdrijven
2016JJ00,154.0,Ten Boer,Alle misdrijven
2014JJ00,649.0,Borger-Odoorn,Alle misdrijven
2015JJ00,661.0,Borger-Odoorn,Alle misdrijven
2016JJ00,589.0,Borger-Odoorn,Alle misdrijven
2014JJ00,703.0,Borne,Alle misdrijven
2015JJ00,670.0,Borne,Alle misdrijven
2016JJ00,667.0,Borne,Alle misdrijven
2014JJ00,490.0,Borsele,Alle misdrijven
2015JJ00,501.0,Borsele,Alle misdrijven
2016JJ00,487.0,Borsele,Alle misdrijven
2014JJ00,,Boskoop,Alle misdrijven
2015JJ00,,Boskoop,Alle misdrijven
2016JJ00,,Boskoop,Alle misdrijven
2014JJ00,1092.0,Boxmeer,Alle misdrijven
2015JJ00,1086.0,Boxmeer,Alle misdrijven
2016JJ00,1010.0,Boxmeer,Alle misdrijven
2014JJ00,1448.0,Boxtel,Alle misdrijven
2015JJ00,1428.0,Boxtel,Alle misdrijven
2016JJ00,1428.0,Boxtel,Alle misdrijven
2014JJ00,14053.0,Breda,Alle misdrijven
2015JJ00,12941.0,Breda,Alle misdrijven
2016JJ00,12577.0,Breda,Alle misdrijven
2014JJ00,743.0,Brielle,Alle misdrijven
2015JJ00,845.0,Brielle,Alle misdrijven
2016JJ00,635.0,Brielle,Alle misdrijven
2014JJ00,933.0,Bronckhorst,Alle misdrijven
2015JJ00,745.0,Bronckhorst,Alle misdrijven
2016JJ00,751.0,Bronckhorst,Alle misdrijven
2014JJ00,746.0,Brummen,Alle misdrijven
2015JJ00,704.0,Brummen,Alle misdrijven
2016JJ00,619.0,Brummen,Alle misdrijven
2014JJ00,1905.0,Brunssum,Alle misdrijven
2015JJ00,1800.0,Brunssum,Alle misdrijven
2016JJ00,1729.0,Brunssum,Alle misdrijven
2014JJ00,625.0,Bunnik,Alle misdrijven
2015JJ00,624.0,Bunnik,Alle misdrijven
2016JJ00,582.0,Bunnik,Alle misdrijven
2014JJ00,649.0,Bunschoten,Alle misdrijven
2015JJ00,713.0,Bunschoten,Alle misdrijven
2016JJ00,639.0,Bunschoten,Alle misdrijven
2014JJ00,826.0,Buren,Alle misdrijven
2015JJ00,666.0,Buren,Alle misdrijven
2016JJ00,751.0,Buren,Alle misdrijven
2014JJ00,1887.0,Bussum,Alle misdrijven
2015JJ00,1718.0,Bussum,Alle misdrijven
2016JJ00,,Bussum,Alle misdrijven
2014JJ00,3710.0,Capelle aan den IJssel,Alle misdrijven
2015JJ00,3486.0,Capelle aan den IJssel,Alle misdrijven
2016JJ00,3404.0,Capelle aan den IJssel,Alle misdrijven
2014JJ00,1487.0,Castricum,Alle misdrijven
2015JJ00,1335.0,Castricum,Alle misdrijven
2016JJ00,1233.0,Castricum,Alle misdrijven
2014JJ00,1624.0,Coevorden,Alle misdrijven
2015JJ00,1352.0,Coevorden,Alle misdrijven
2016JJ00,1281.0,Coevorden,Alle misdrijven
2014JJ00,891.0,Cranendonck,Alle misdrijven
2015JJ00,798.0,Cranendonck,Alle misdrijven
2016JJ00,866.0,Cranendonck,Alle misdrijven
2014JJ00,396.0,Cromstrijen,Alle misdrijven
2015JJ00,386.0,Cromstrijen,Alle misdrijven
2016JJ00,342.0,Cromstrijen,Alle misdrijven
2014JJ00,1078.0,Cuijk,Alle misdrijven
2015JJ00,990.0,Cuijk,Alle misdrijven
2016JJ00,967.0,Cuijk,Alle misdrijven
2014JJ00,1778.0,Culemborg,Alle misdrijven
2015JJ00,1535.0,Culemborg,Alle misdrijven
2016JJ00,1620.0,Culemborg,Alle misdrijven
2014JJ00,527.0,Dalfsen,Alle misdrijven
2015JJ00,456.0,Dalfsen,Alle misdrijven
2016JJ00,469.0,Dalfsen,Alle misdrijven
2014JJ00,464.0,Dantumadiel,Alle misdrijven
2015JJ00,421.0,Dantumadiel,Alle misdrijven
2016JJ00,426.0,Dantumadiel,Alle misdrijven
2014JJ00,6966.0,Delft,Alle misdrijven
2015JJ00,6316.0,Delft,Alle misdrijven
2016JJ00,6484.0,Delft,Alle misdrijven
2014JJ00,986.0,Delfzijl,Alle misdrijven
2015JJ00,942.0,Delfzijl,Alle misdrijven
2016JJ00,1107.0,Delfzijl,Alle misdrijven
2014JJ00,1473.0,Deurne,Alle misdrijven
2015JJ00,1411.0,Deurne,Alle misdrijven
2016JJ00,1292.0,Deurne,Alle misdrijven
2014JJ00,6334.0,Deventer,Alle misdrijven
2015JJ00,5389.0,Deventer,Alle misdrijven
2016JJ00,5533.0,Deventer,Alle misdrijven
2014JJ00,1661.0,Diemen,Alle misdrijven
2015JJ00,1638.0,Diemen,Alle misdrijven
2016JJ00,1611.0,Diemen,Alle misdrijven
2014JJ00,523.0,Dinkelland,Alle misdrijven
2015JJ00,529.0,Dinkelland,Alle misdrijven
2016JJ00,517.0,Dinkelland,Alle misdrijven
2014JJ00,487.0,Doesburg,Alle misdrijven
2015JJ00,532.0,Doesburg,Alle misdrijven
2016JJ00,497.0,Doesburg,Alle misdrijven
2014JJ00,2816.0,Doetinchem,Alle misdrijven
2015JJ00,2487.0,Doetinchem,Alle misdrijven
2016JJ00,2328.0,Doetinchem,Alle misdrijven
2014JJ00,1179.0,Dongen,Alle misdrijven
2015JJ00,1048.0,Dongen,Alle misdrijven
2016JJ00,838.0,Dongen,Alle misdrijven
2014JJ00,781.0,Dongeradeel,Alle misdrijven
2015JJ00,544.0,Dongeradeel,Alle misdrijven
2016JJ00,582.0,Dongeradeel,Alle misdrijven
2014JJ00,8636.0,Dordrecht,Alle misdrijven
2015JJ00,7736.0,Dordrecht,Alle misdrijven
2016JJ00,7203.0,Dordrecht,Alle misdrijven
2014JJ00,579.0,Drechterland,Alle misdrijven
2015JJ00,590.0,Drechterland,Alle misdrijven
2016JJ00,508.0,Drechterland,Alle misdrijven
2014JJ00,910.0,Drimmelen,Alle misdrijven
2015JJ00,900.0,Drimmelen,Alle misdrijven
2016JJ00,783.0,Drimmelen,Alle misdrijven
2014JJ00,1927.0,Dronten,Alle misdrijven
2015JJ00,1682.0,Dronten,Alle misdrijven
2016JJ00,1690.0,Dronten,Alle misdrijven
2014JJ00,596.0,Druten,Alle misdrijven
2015JJ00,578.0,Druten,Alle misdrijven
2016JJ00,669.0,Druten,Alle misdrijven
2014JJ00,1033.0,Duiven,Alle misdrijven
2015JJ00,888.0,Duiven,Alle misdrijven
2016JJ00,894.0,Duiven,Alle misdrijven
2014JJ00,1441.0,Echt-Susteren,Alle misdrijven
2015JJ00,1360.0,Echt-Susteren,Alle misdrijven
2016JJ00,1247.0,Echt-Susteren,Alle misdrijven
2014JJ00,826.0,Edam-Volendam,Alle misdrijven
2015JJ00,777.0,Edam-Volendam,Alle misdrijven
2016JJ00,785.0,Edam-Volendam,Alle misdrijven
2014JJ00,4813.0,Ede,Alle misdrijven
2015JJ00,4643.0,Ede,Alle misdrijven
2016JJ00,5282.0,Ede,Alle misdrijven
2014JJ00,327.0,Eemnes,Alle misdrijven
2015JJ00,317.0,Eemnes,Alle misdrijven
2016JJ00,335.0,Eemnes,Alle misdrijven
2014JJ00,464.0,Eemsmond,Alle misdrijven
2015JJ00,372.0,Eemsmond,Alle misdrijven
2016JJ00,427.0,Eemsmond,Alle misdrijven
2014JJ00,790.0,Eersel,Alle misdrijven
2015JJ00,786.0,Eersel,Alle misdrijven
2016JJ00,846.0,Eersel,Alle misdrijven
2014JJ00,940.0,Eijsden-Margraten,Alle misdrijven
2015JJ00,762.0,Eijsden-Margraten,Alle misdrijven
2016JJ00,760.0,Eijsden-Margraten,Alle misdrijven
2014JJ00,22510.0,Eindhoven,Alle misdrijven
2015JJ00,21255.0,Eindhoven,Alle misdrijven
2016JJ00,20944.0,Eindhoven,Alle misdrijven
2014JJ00,706.0,Elburg,Alle misdrijven
2015JJ00,708.0,Elburg,Alle misdrijven
2016JJ00,634.0,Elburg,Alle misdrijven
2014JJ00,5752.0,Emmen,Alle misdrijven
2015JJ00,5158.0,Emmen,Alle misdrijven
2016JJ00,4751.0,Emmen,Alle misdrijven
2014JJ00,1108.0,Enkhuizen,Alle misdrijven
2015JJ00,1085.0,Enkhuizen,Alle misdrijven
2016JJ00,962.0,Enkhuizen,Alle misdrijven
2014JJ00,12267.0,Enschede,Alle misdrijven
2015JJ00,10748.0,Enschede,Alle misdrijven
2016JJ00,10945.0,Enschede,Alle misdrijven
2014JJ00,1214.0,Epe,Alle misdrijven
2015JJ00,1126.0,Epe,Alle misdrijven
2016JJ00,1148.0,Epe,Alle misdrijven
2014JJ00,1358.0,Ermelo,Alle misdrijven
2015JJ00,1209.0,Ermelo,Alle misdrijven
2016JJ00,1311.0,Ermelo,Alle misdrijven
2014JJ00,2405.0,Etten-Leur,Alle misdrijven
2015JJ00,2152.0,Etten-Leur,Alle misdrijven
2016JJ00,2120.0,Etten-Leur,Alle misdrijven
2014JJ00,183.0,Ferwerderadiel,Alle misdrijven
2015JJ00,156.0,Ferwerderadiel,Alle misdrijven
2016JJ00,172.0,Ferwerderadiel,Alle misdrijven
2014JJ00,662.0,Franekeradeel,Alle misdrijven
2015JJ00,701.0,Franekeradeel,Alle misdrijven
2016JJ00,610.0,Franekeradeel,Alle misdrijven
2014JJ00,1625.0,De Friese Meren,Alle misdrijven
2015JJ00,1486.0,De Friese Meren,Alle misdrijven
2016JJ00,,De Friese Meren,Alle misdrijven
2014JJ00,,De Fryske Marren,Alle misdrijven
2015JJ00,,De Fryske Marren,Alle misdrijven
2016JJ00,1684.0,De Fryske Marren,Alle misdrijven
2014JJ00,,Gaasterlan-Sleat,Alle misdrijven
2015JJ00,,Gaasterlan-Sleat,Alle misdrijven
2016JJ00,,Gaasterlan-Sleat,Alle misdrijven
2014JJ00,989.0,Geertruidenberg,Alle misdrijven
2015JJ00,957.0,Geertruidenberg,Alle misdrijven
2016JJ00,937.0,Geertruidenberg,Alle misdrijven
2014JJ00,1367.0,Geldermalsen,Alle misdrijven
2015JJ00,1133.0,Geldermalsen,Alle misdrijven
2016JJ00,1156.0,Geldermalsen,Alle misdrijven
2014JJ00,1972.0,Geldrop-Mierlo,Alle misdrijven
2015JJ00,1948.0,Geldrop-Mierlo,Alle misdrijven
2016JJ00,1847.0,Geldrop-Mierlo,Alle misdrijven
2014JJ00,1431.0,Gemert-Bakel,Alle misdrijven
2015JJ00,1136.0,Gemert-Bakel,Alle misdrijven
2016JJ00,1081.0,Gemert-Bakel,Alle misdrijven
2014JJ00,639.0,Gennep,Alle misdrijven
2015JJ00,661.0,Gennep,Alle misdrijven
2016JJ00,552.0,Gennep,Alle misdrijven
2014JJ00,373.0,Giessenlanden,Alle misdrijven
2015JJ00,402.0,Giessenlanden,Alle misdrijven
