Periods,Age,BeatingOrKicking_4,Firearm_5,HangingStrangulationOrSuffocation_3,HouseOfTheVictimOrOthers_8,LocationForTradeAndServices_9,OtherOrUnknownLocation_11,OtherOrUnknownMethod_7,Periods,PublicRoad_10,Sex,StabbingWeapon_6,TotalVictimsOfMurderAndManslaughter_1,VictimsMurderManslaughterRelative_2,CategoryGroupID,Description,Key,Title
1996JJ00,10000,13.0,86.0,22.0,97.0,15.0,88.0,31.0,1996JJ00,40.0,1100,88.0,240,15.5,,,10000,Total all ages
1997JJ00,10000,9.0,78.0,33.0,70.0,15.0,101.0,41.0,1997JJ00,51.0,1100,76.0,237,15.2,,,10000,Total all ages
1998JJ00,10000,9.0,74.0,23.0,66.0,9.0,86.0,29.0,1998JJ00,47.0,1100,73.0,208,13.2,,,10000,Total all ages
1999JJ00,10000,21.0,89.0,19.0,95.0,10.0,67.0,20.0,1999JJ00,58.0,1100,81.0,230,14.5,,,10000,Total all ages
2000JJ00,10000,6.0,81.0,24.0,101.0,21.0,61.0,37.0,2000JJ00,40.0,1100,75.0,223,14.0,,,10000,Total all ages
2001JJ00,10000,9.0,91.0,12.0,133.0,13.0,51.0,49.0,2001JJ00,67.0,1100,103.0,264,16.5,,,10000,Total all ages
2002JJ00,10000,18.0,80.0,14.0,115.0,13.0,33.0,35.0,2002JJ00,63.0,1100,77.0,224,13.9,,,10000,Total all ages
2003JJ00,10000,17.0,75.0,16.0,113.0,19.0,50.0,44.0,2003JJ00,65.0,1100,95.0,247,15.2,,,10000,Total all ages
2004JJ00,10000,18.0,67.0,23.0,105.0,15.0,33.0,28.0,2004JJ00,70.0,1100,87.0,223,13.7,,,10000,Total all ages
2005JJ00,10000,7.0,63.0,24.0,114.0,18.0,18.0,33.0,2005JJ00,47.0,1100,70.0,197,12.1,,,10000,Total all ages
2006JJ00,10000,8.0,43.0,12.0,83.0,12.0,34.0,30.0,2006JJ00,30.0,1100,66.0,159,9.7,,,10000,Total all ages
2007JJ00,10000,15.0,47.0,16.0,92.0,18.0,20.0,20.0,2007JJ00,34.0,1100,66.0,164,10.0,,,10000,Total all ages
2008JJ00,10000,16.0,52.0,12.0,94.0,8.0,24.0,21.0,2008JJ00,50.0,1100,75.0,176,10.7,,,10000,Total all ages
2009JJ00,10000,19.0,55.0,13.0,102.0,10.0,21.0,19.0,2009JJ00,42.0,1100,69.0,175,10.6,,,10000,Total all ages
2010JJ00,10000,18.0,41.0,12.0,98.0,10.0,14.0,12.0,2010JJ00,36.0,1100,75.0,158,9.5,,,10000,Total all ages
2011JJ00,10000,18.0,60.0,13.0,93.0,21.0,20.0,12.0,2011JJ00,31.0,1100,62.0,165,9.9,,,10000,Total all ages
2012JJ00,10000,21.0,54.0,15.0,87.0,11.0,25.0,14.0,2012JJ00,34.0,1100,53.0,157,9.4,,,10000,Total all ages
2013JJ00,10000,12.0,35.0,21.0,91.0,8.0,23.0,23.0,2013JJ00,25.0,1100,56.0,147,8.7,,,10000,Total all ages
2014JJ00,10000,14.0,47.0,17.0,71.0,11.0,18.0,9.0,2014JJ00,44.0,1100,57.0,144,8.5,,,10000,Total all ages
2015JJ00,10000,13.0,41.0,13.0,66.0,4.0,15.0,4.0,2015JJ00,35.0,1100,49.0,120,7.1,,,10000,Total all ages
2016JJ00,10000,13.0,31.0,9.0,58.0,10.0,9.0,4.0,2016JJ00,31.0,1100,51.0,108,6.5,,,10000,Total all ages
1996JJ00,41410,1.0,3.0,4.0,18.0,1.0,7.0,10.0,1996JJ00,3.0,1100,11.0,29,7.7,,,41410,Younger than 20 years
1997JJ00,41410,2.0,5.0,11.0,13.0,1.0,18.0,12.0,1997JJ00,4.0,1100,6.0,36,9.5,,,41410,Younger than 20 years
1998JJ00,41410,0.0,6.0,3.0,10.0,0.0,13.0,8.0,1998JJ00,3.0,1100,9.0,26,6.8,,,41410,Younger than 20 years
1999JJ00,41410,1.0,6.0,8.0,11.0,0.0,11.0,5.0,1999JJ00,4.0,1100,6.0,26,6.7,,,41410,Younger than 20 years
2000JJ00,41410,1.0,4.0,4.0,12.0,1.0,8.0,10.0,2000JJ00,6.0,1100,8.0,27,6.9,,,41410,Younger than 20 years
2001JJ00,41410,0.0,5.0,2.0,13.0,2.0,6.0,10.0,2001JJ00,4.0,1100,8.0,25,6.4,,,41410,Younger than 20 years
2002JJ00,41410,0.0,3.0,3.0,20.0,0.0,4.0,18.0,2002JJ00,4.0,1100,4.0,28,7.1,,,41410,Younger than 20 years
